(he1 -0.084)(he2 0)(lae1 0.0516)(lae2 0.1958)(lae3 0.1738)(lae4 0.0221)(rae1 0.0516)(rae2 -0.2267)(rae3 -0.1737)(rae4 -0.0221)(lle1 0.0177)(lle2 0.0029)(lle3 -0.0103)(lle4 0.0736)(lle5 -0.0338)(lle6 -0.0074)(rle1 0.0177)(rle2 -0.0029)(rle3 -0.0323)(rle4 0.106)(rle5 -0.0309)(rle6 0.0074)
(he1 -0.0647)(he2 0)(lae1 0.0397)(lae2 0.1547)(lae3 0.1354)(lae4 0.0177)(rae1 0.0397)(rae2 -0.1782)(rae3 -0.1354)(rae4 -0.0177)(lle1 0.0132)(lle2 0.003)(lle3 -0.0089)(lle4 0.0574)(lle5 -0.0265)(lle6 -0.0059)(rle1 0.0132)(rle2 -0.003)(rle3 -0.0266)(rle4 0.084)(rle5 -0.0251)(rle6 0.0059)
(he1 -0.0516)(he2 0)(lae1 0.0309)(lae2 0.1207)(lae3 0.106)(lae4 0.0132)(rae1 0.0309)(rae2 -0.1399)(rae3 -0.106)(rae4 -0.0132)(lle1 0.0103)(lle2 0.003)(lle3 -0.0058)(lle4 0.0457)(lle5 -0.0222)(lle6 -0.0044)(rle1 0.0103)(rle2 -0.0014)(rle3 -0.0206)(rle4 0.0663)(rle5 -0.0191)(rle6 0.0044)
(he1 -0.0397)(he2 0)(lae1 0.0251)(lae2 0.0958)(lae3 0.0824)(lae4 0.0103)(rae1 0.0251)(rae2 -0.1105)(rae3 -0.0824)(rae4 -0.0103)(lle1 0.0089)(lle2 0.0014)(lle3 -0.0044)(lle4 0.0353)(lle5 -0.0161)(lle6 -0.0045)(rle1 0.0089)(rle2 -0.0015)(rle3 -0.0162)(rle4 0.0515)(rle5 -0.0147)(rle6 0.0029)
(he1 -0.0309)(he2 0)(lae1 0.0191)(lae2 0.0751)(lae3 0.0648)(lae4 0.0073)(rae1 0.0191)(rae2 -0.0869)(rae3 -0.0648)(rae4 -0.0073)(lle1 0.0058)(lle2 0.0015)(lle3 -0.0045)(lle4 0.028)(lle5 -0.0133)(lle6 -0.0029)(rle1 0.0058)(rle2 -0.0015)(rle3 -0.0117)(rle4 0.0397)(rle5 -0.0118)(rle6 0.003)
(he1 -0.0251)(he2 0)(lae1 0.0147)(lae2 0.0589)(lae3 0.05)(lae4 0.0059)(rae1 0.0147)(rae2 -0.0677)(rae3 -0.05)(rae4 -0.0059)(lle1 0.0044)(lle2 0.0015)(lle3 -0.0029)(lle4 0.0221)(lle5 -0.0103)(lle6 -0.003)(rle1 0.0044)(rle2 -0.0015)(rle3 -0.0104)(rle4 0.0309)(rle5 -0.0088)(rle6 0.0014)
(he1 -0.0191)(he2 0)(lae1 0.0118)(lae2 0.0456)(lae3 0.0398)(lae4 0.0044)(rae1 0.0118)(rae2 -0.053)(rae3 -0.0398)(rae4 -0.0044)(lle1 0.0045)(lle2 0.0015)(lle3 -0.003)(lle4 0.0177)(lle5 -0.0089)(lle6 -0.0014)(rle1 0.0045)(rle2 -0.0015)(rle3 -0.0073)(rle4 0.0251)(rle5 -0.0074)(rle6 0.0015)
(he1 -0.0163)(he2 0)(lae1 0.0104)(lae2 0.0353)(lae3 0.0309)(lae4 0.0045)(rae1 0.0104)(rae2 -0.0412)(rae3 -0.0309)(rae4 -0.0045)(lle1 0.0029)(lle2 -0.0001)(lle3 -0.0014)(lle4 0.0132)(lle5 -0.0058)(lle6 -0.0015)(rle1 0.0029)(rle2 0.0001)(rle3 -0.0059)(rle4 0.0191)(rle5 -0.0059)(rle6 0.0015)
(he1 -0.0117)(he2 0)(lae1 0.0073)(lae2 0.028)(lae3 0.0235)(lae4 0.0029)(rae1 0.0073)(rae2 -0.0324)(rae3 -0.0235)(rae4 -0.0029)(lle1 0.003)(lle2 0)(lle3 -0.0015)(lle4 0.0103)(lle5 -0.0044)(lle6 -0.0015)(rle1 0.003)(rle2 0)(rle3 -0.0044)(rle4 0.0163)(rle5 -0.0044)(rle6 0.0015)
(he1 -0.0088)(he2 0)(lae1 0.0059)(lae2 0.0221)(lae3 0.0192)(lae4 0.003)(rae1 0.0059)(rae2 -0.0266)(rae3 -0.0192)(rae4 -0.003)(lle1 0.0014)(lle2 0)(lle3 -0.0015)(lle4 0.0089)(lle5 -0.0045)(lle6 0.0001)(rle1 0.0014)(rle2 0)(rle3 -0.0045)(rle4 0.0117)(rle5 -0.0045)(rle6 0.0015)
(he1 -0.0074)(he2 0)(lae1 0.0044)(lae2 0.0177)(lae3 0.0147)(lae4 0.0014)(rae1 0.0044)(rae2 -0.0206)(rae3 -0.0147)(rae4 -0.0014)(lle1 0.0015)(lle2 0)(lle3 -0.0015)(lle4 0.0074)(lle5 -0.0029)(lle6 0)(rle1 0.0015)(rle2 0)(rle3 -0.0029)(rle4 0.0088)(rle5 -0.0029)(rle6 -0.0001)
